#item,x,y,dx,dy,label
0,63.9285714286,153.571428571,34.0,28.0,1
1,63.5714285714,170.0,30.0,24.0,1
2,90.3571428571,134.285714286,34.0,28.0,1
3,71.0714285714,249.285714286,32.0,26.0,1
4,79.6428571429,255.357142857,26.0,26.0,1
5,40.7142857143,262.5,30.0,24.0,1
6,208.214285714,155.357142857,30.0,32.0,1
7,194.642857143,178.928571429,36.0,38.0,1
8,207.142857143,205.357142857,26.0,28.0,1
9,230.0,187.857142857,40.0,34.0,1
10,275.357142857,192.857142857,24.0,40.0,1
11,264.642857143,146.428571429,30.0,36.0,1
12,217.142857143,111.428571429,26.0,32.0,1
