#item,x,y,dx,dy,label
0,30.9523809524,109.523809524,24.0,22.0,1
1,60.4761904762,83.3333333333,24.0,22.0,1
2,9.52380952381,160.0,24.0,22.0,1
3,102.380952381,79.0476190476,28.0,18.0,1
4,182.380952381,43.3333333333,24.0,20.0,1
5,261.904761905,13.3333333333,32.0,34.0,1
6,213.80952381,71.4285714286,22.0,26.0,1
7,239.523809524,100.476190476,36.0,30.0,1
8,266.666666667,112.380952381,28.0,34.0,1
9,265.714285714,90.4761904762,32.0,24.0,1
10,250.952380952,75.7142857143,32.0,24.0,1
11,180.0,134.761904762,22.0,20.0,1
12,238.095238095,222.857142857,30.0,20.0,1
13,253.333333333,229.047619048,28.0,26.0,1
