#item,x,y,dx,dy,label
0,229.411764706,190.0,30.3604895396,35.3004995252,1
1,296.470588235,161.176470588,30.3604895396,35.3004995252,1
2,288.235294118,124.117647059,30.3604895396,35.3004995252,1
3,306.470588235,195.882352941,30.3604895396,35.3004995252,1
4,324.117647059,118.823529412,27.3244405857,31.7704495726,1
5,364.705882353,120.588235294,27.3244405857,31.7704495726,1
6,345.882352941,8.82352941176,33.0625731086,38.4422439829,1
7,475.882352941,34.7058823529,21.6923542166,28.0243958635,1
8,340.588235294,398.823529412,38.4293287283,49.6469267604,1
9,237.647058824,241.176470588,31.1277562699,32.5733486475,1
10,45.2941176471,229.411764706,29.4245732449,30.4729167761,1
11,5.29411764706,255.882352941,26.4821159204,27.4256250985,1
